,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
20395,0.468085,0.10475,0.617376,0.003467,0.422915,0.414912,1
194,0.531915,0.043023,0.569176,0.002981,0.582082,0.399561,0
20478,0.851064,0.134682,0.726867,0.003467,0.422915,0.414912,1
23467,0.446809,0.093731,0.548944,0.003467,0.422915,0.414912,1
12223,0.255319,0.086075,0.368789,0.003467,0.422915,0.414912,0
27917,0.723404,0.05278,0.74457,0.003695,0.64811,0.255702,1
19535,0.638298,0.119731,0.461619,0.003467,0.422915,0.414912,1
24550,0.468085,0.069893,0.510562,0.003467,0.422915,0.414912,1
27728,0.808511,0.064069,0.750521,0.004489,0.47333,0.540351,1
366,0.319149,0.041401,0.224933,0.002553,0.100725,0.760526,0
16523,0.553191,0.041642,0.537191,0.003467,0.422915,0.414912,0
13891,0.468085,0.034947,0.524695,0.002416,0.336354,0.432018,0
4880,0.319149,0.043983,0.214222,0.003467,0.422915,0.414912,0
7958,0.191489,0.032094,0.175097,0.002106,0.203263,0.738596,0
20099,0.106383,0.075958,0.284588,0.003467,0.422915,0.414912,1
7548,0.12766,0.046625,0.112615,0.003467,0.422915,0.414912,0
3984,0.978723,0.044134,0.429485,0.003467,0.422915,0.414912,0
5084,0.87234,0.049478,0.347813,0.003467,0.422915,0.414912,0
20349,0.851064,0.074817,0.666915,0.003467,0.422915,0.414912,1
13928,0.021277,0.055242,0.107111,0.003467,0.422915,0.414912,0
23091,0.893617,0.059865,0.373252,0.003467,0.422915,0.414912,1
18701,0.276596,0.074817,0.478727,0.003467,0.422915,0.414912,0
8126,0.021277,0.061217,0.497769,0.003467,0.422915,0.414912,0
25256,0.234043,0.077369,0.394228,0.003467,0.422915,0.414912,1
10069,0.787234,0.061757,0.554299,0.003467,0.422915,0.414912,0
13032,0.851064,0.050648,0.437519,0.003467,0.422915,0.414912,0
24314,0.170213,0.070854,0.070515,0.003467,0.422915,0.414912,1
23906,0.425532,0.074817,0.37474,0.003467,0.422915,0.414912,1
3131,0.87234,0.062447,0.348706,0.003467,0.422915,0.414912,0
21097,0.340426,0.087697,0.605177,0.003467,0.422915,0.414912,1
11585,0.446809,0.041882,0.665427,0.003467,0.422915,0.414912,0
7838,0.531915,0.050198,0.314341,0.003467,0.422915,0.414912,0
1364,0.06383,0.040831,0.445849,0.002661,0.447178,0.580702,0
2467,0.680851,0.058364,0.477239,0.003467,0.422915,0.414912,0
25725,0.468085,0.071064,0.522017,0.003467,0.422915,0.414912,1
6292,0.893617,0.047286,0.596102,0.003467,0.422915,0.414912,0
17143,0.191489,0.063468,0.050729,0.003467,0.422915,0.414912,0
21510,0.808511,0.104179,0.685808,0.003467,0.422915,0.414912,1
7769,0.574468,0.050859,0.500149,0.003467,0.422915,0.414912,0
12890,0.680851,0.044254,0.44823,0.002931,0.347488,0.65,0
18965,0.87234,0.049478,0.351532,0.003467,0.422915,0.414912,0
26851,0.404255,0.053321,0.364475,0.002239,0.171155,0.500526,1
21495,0.87234,0.121352,0.584945,0.003467,0.422915,0.414912,1
2548,0.106383,0.040651,0.186849,0.003467,0.422915,0.414912,0
20801,0.638298,0.084304,0.506694,0.003467,0.422915,0.414912,1
14918,0.340426,0.037649,0.728206,0.002528,0.706888,0.438596,0
574,1.0,0.058304,0.179262,0.003467,0.422915,0.414912,0
11933,0.851064,0.045094,0.559506,0.003467,0.422915,0.414912,0
18330,0.553191,0.045334,0.337995,0.003467,0.422915,0.414912,0
10120,0.425532,0.069593,0.580482,0.004755,0.561367,0.35307,0
21075,0.212766,0.072295,0.219875,0.003467,0.422915,0.414912,1
25672,0.531915,0.093071,0.596102,0.003467,0.422915,0.414912,1
24616,0.06383,0.076618,0.177477,0.003467,0.422915,0.414912,1
15438,0.12766,0.041161,0.171824,0.003467,0.422915,0.414912,0
6102,0.276596,0.061727,0.415055,0.003467,0.422915,0.414912,0
6426,0.93617,0.043473,0.60607,0.002943,0.469446,0.650877,0
2765,0.510638,0.046866,0.490628,0.003467,0.422915,0.414912,0
24586,0.680851,0.10475,0.481256,0.003467,0.422915,0.414912,1
27663,0.319149,0.059385,0.6446,0.003959,0.563698,0.388158,1
529,0.148936,0.047526,0.116483,0.003467,0.422915,0.414912,0
3335,0.319149,0.050498,0.256025,0.003467,0.422915,0.414912,0
17996,0.617021,0.054491,0.498512,0.003729,0.522786,0.382018,0
17293,0.680851,0.068272,0.299018,0.003467,0.422915,0.414912,0
24381,0.382979,0.103399,0.491372,0.003467,0.422915,0.414912,1
13849,0.191489,0.047796,0.072151,0.003467,0.422915,0.414912,0
23900,0.297872,0.077819,0.325945,0.003467,0.422915,0.414912,1
5835,0.106383,0.038369,0.363434,0.002468,0.365873,0.614912,0
5425,0.340426,0.042963,0.568134,0.002029,0.344122,0.628509,0
17739,0.276596,0.076408,0.253347,0.003467,0.422915,0.414912,0
23744,0.404255,0.089828,0.42532,0.003467,0.422915,0.414912,1
8738,0.12766,0.040231,0.124814,0.003467,0.422915,0.414912,0
26186,0.319149,0.051669,0.326093,0.003467,0.422915,0.414912,1
3357,0.595745,0.044134,0.425915,0.003467,0.422915,0.414912,0
11223,0.957447,0.041431,0.316424,0.003467,0.422915,0.414912,0
17536,0.914894,0.062838,0.415204,0.003467,0.422915,0.414912,0
27606,0.361702,0.062838,0.687891,0.004466,0.605386,0.335526,1
3045,0.446809,0.043983,0.550431,0.003467,0.422915,0.414912,0
22500,0.638298,0.082323,0.456412,0.003467,0.422915,0.414912,1
21023,0.276596,0.116909,0.586581,0.003467,0.422915,0.414912,1
598,0.851064,0.101357,0.416691,0.003467,0.422915,0.414912,0
26042,0.404255,0.081932,0.564118,0.003467,0.422915,0.414912,1
21883,0.574468,0.068422,0.243231,0.003467,0.422915,0.414912,1
18518,0.06383,0.040651,0.251562,0.003467,0.422915,0.414912,0
28691,0.425532,0.095653,0.6687,0.006452,0.627395,0.518421,1
21829,0.297872,0.049508,0.392145,0.003467,0.422915,0.414912,1
23707,0.617021,0.102348,0.545076,0.003467,0.422915,0.414912,1
28564,0.446809,0.03978,0.659774,0.002688,0.642931,0.472807,1
22342,0.638298,0.068272,0.273133,0.003467,0.422915,0.414912,1
12865,0.212766,0.074727,0.220916,0.003467,0.422915,0.414912,0
18929,0.425532,0.06614,0.535852,0.003467,0.422915,0.414912,0
15663,1.0,0.09265,0.395418,0.003467,0.422915,0.414912,0
25934,0.957447,0.048697,0.298721,0.003467,0.422915,0.414912,1
25792,0.829787,0.070524,0.406129,0.003467,0.422915,0.414912,1
6618,0.12766,0.033025,0.212586,0.002252,0.263076,0.617544,0
23320,0.446809,0.080161,0.47471,0.003467,0.422915,0.414912,1
7920,1.0,0.102978,0.371169,0.003467,0.422915,0.414912,0
26619,0.808511,0.051759,0.397501,0.003467,0.422915,0.414912,1
579,0.510638,0.044734,0.587028,0.00339,0.547126,0.245614,0
21412,0.765957,0.135043,0.781761,0.003467,0.422915,0.414912,1
28366,0.042553,0.041011,0.365665,0.002696,0.467633,0.678947,1
5177,0.06383,0.06614,0.162154,0.003467,0.422915,0.414912,0
13150,0.170213,0.048337,0.140881,0.003467,0.422915,0.414912,0
23406,0.851064,0.074817,0.309134,0.003467,0.422915,0.414912,1
22920,0.978723,0.074517,0.272092,0.003467,0.422915,0.414912,1
5830,0.93617,0.080581,0.457899,0.003467,0.422915,0.414912,0
4743,0.106383,0.046956,0.196816,0.003467,0.422915,0.414912,0
14179,0.702128,0.087727,0.545522,0.003467,0.422915,0.414912,0
28656,0.297872,0.055062,0.573341,0.003876,0.543501,0.368421,1
20967,0.276596,0.086135,0.503124,0.003467,0.422915,0.414912,1
27185,0.531915,0.057193,0.575722,0.003833,0.469705,0.573246,1
2816,0.361702,0.06614,0.5241,0.003467,0.422915,0.414912,0
20084,0.212766,0.075958,0.229694,0.003467,0.422915,0.414912,1
14764,0.957447,0.075057,0.46266,0.003467,0.422915,0.414912,0
20056,0.957447,0.090729,0.518596,0.003467,0.422915,0.414912,1
3954,0.297872,0.057314,0.415204,0.003467,0.422915,0.414912,0
18985,0.276596,0.041431,0.168105,0.003467,0.422915,0.414912,0
19328,0.595745,0.139636,0.461619,0.003467,0.422915,0.414912,1
24919,0.319149,0.096073,0.49881,0.003467,0.422915,0.414912,1
14256,0.042553,0.038129,0.36983,0.002603,0.440445,0.552632,0
9607,0.914894,0.072835,0.459833,0.003467,0.422915,0.414912,0
21764,0.893617,0.069653,0.332937,0.003467,0.422915,0.414912,1
5902,0.531915,0.03981,0.575573,0.002599,0.5971,0.599123,0
28180,0.851064,0.058755,0.690568,0.003901,0.520197,0.514035,1
11117,0.893617,0.041401,0.411336,0.003467,0.422915,0.414912,0
2910,0.531915,0.057644,0.44942,0.003467,0.422915,0.414912,0
10621,0.638298,0.045244,0.231479,0.003467,0.422915,0.414912,0
18062,0.93617,0.05221,0.418328,0.003467,0.422915,0.414912,0
5484,1.0,0.099135,0.555043,0.003467,0.422915,0.414912,0
17917,0.574468,0.057013,0.264802,0.003467,0.422915,0.414912,0
6633,0.595745,0.055632,0.322969,0.003467,0.422915,0.414912,0
4961,0.765957,0.046295,0.759298,0.003014,0.485759,0.59693,0
6463,0.06383,0.090219,0.458048,0.003467,0.422915,0.414912,0
20455,0.829787,0.075117,0.738619,0.003467,0.422915,0.414912,1
22943,0.680851,0.103489,0.498661,0.003467,0.422915,0.414912,1
7870,0.106383,0.036628,0.298274,0.002277,0.359917,0.762281,0
8330,0.957447,0.070043,0.434543,0.003467,0.422915,0.414912,0
18214,0.638298,0.055482,0.504017,0.003467,0.422915,0.414912,0
12293,0.914894,0.055993,0.430378,0.003467,0.422915,0.414912,0
23857,0.425532,0.114057,0.511306,0.003467,0.422915,0.414912,1
13475,0.085106,0.041492,0.278042,0.003467,0.422915,0.414912,0
11745,0.93617,0.082983,0.439006,0.003467,0.422915,0.414912,0
17503,0.659574,0.043833,0.44704,0.003467,0.422915,0.414912,0
15670,0.021277,0.061967,0.560994,0.003467,0.422915,0.414912,0
9338,0.0,0.044884,0.353913,0.003467,0.422915,0.414912,0
23063,0.531915,0.079921,0.335614,0.003467,0.422915,0.414912,1
22451,0.617021,0.086976,0.504017,0.003467,0.422915,0.414912,1
3340,0.170213,0.066951,0.164088,0.003467,0.422915,0.414912,0
25436,0.446809,0.081272,0.611425,0.003467,0.422915,0.414912,1
23109,0.531915,0.074487,0.480363,0.003467,0.422915,0.414912,1
28270,0.510638,0.03933,0.589854,0.002626,0.673744,0.484211,1
1228,0.148936,0.047526,0.139839,0.003467,0.422915,0.414912,0
24411,0.340426,0.116639,0.475454,0.003467,0.422915,0.414912,1
3711,0.617021,0.054672,0.27834,0.003467,0.422915,0.414912,0
21307,0.787234,0.051849,0.557423,0.003467,0.422915,0.414912,1
15091,0.297872,0.049928,0.250521,0.003467,0.422915,0.414912,0
23891,0.404255,0.114777,0.482297,0.003467,0.422915,0.414912,1
12772,0.148936,0.017143,0.207081,0.001101,0.263853,0.597368,0
12924,0.595745,0.043833,0.559952,0.003467,0.422915,0.414912,0
23705,0.574468,0.103339,0.549241,0.003467,0.422915,0.414912,1
26373,0.404255,0.10583,0.535704,0.003467,0.422915,0.414912,1
7979,0.595745,0.033626,0.562184,0.002254,0.70378,0.380263,0
16493,0.914894,0.049898,0.268968,0.003467,0.422915,0.414912,0
10679,0.12766,0.074517,0.142517,0.003467,0.422915,0.414912,0
23927,0.893617,0.078179,0.299762,0.003467,0.422915,0.414912,1
20625,0.489362,0.097184,0.662303,0.003467,0.422915,0.414912,1
26741,0.446809,0.064309,0.482743,0.003467,0.422915,0.414912,1
2509,0.510638,0.041732,0.453883,0.003467,0.422915,0.414912,0
25039,0.255319,0.085655,0.366855,0.003467,0.422915,0.414912,1
3682,0.531915,0.083794,0.537786,0.003467,0.422915,0.414912,0
28055,0.382979,0.041822,0.585094,0.002796,0.241067,0.759649,1
13516,0.829787,0.049538,0.366111,0.003467,0.422915,0.414912,0
373,0.042553,0.055242,0.201874,0.003467,0.422915,0.414912,0
12097,0.446809,0.077669,0.58435,0.003467,0.422915,0.414912,0
17551,0.404255,0.056323,0.644302,0.003467,0.422915,0.414912,0
24636,0.574468,0.073256,0.304522,0.003467,0.422915,0.414912,1
12720,0.978723,0.076888,0.410295,0.003467,0.422915,0.414912,0
17364,0.170213,0.033115,0.266141,0.002216,0.320559,0.767544,0
24489,0.361702,0.087787,0.371318,0.003467,0.422915,0.414912,1
15243,0.638298,0.074817,0.508777,0.003467,0.422915,0.414912,0
24236,1.0,0.091089,0.319399,0.003467,0.422915,0.414912,1
2137,0.957447,0.041642,0.472181,0.003467,0.422915,0.414912,0
7564,0.617021,0.041281,0.478429,0.003467,0.422915,0.414912,0
13796,0.191489,0.044043,0.178816,0.003467,0.422915,0.414912,0
9576,0.021277,0.032425,0.356888,0.001984,0.34697,0.765789,0
25391,0.297872,0.080341,0.549836,0.003467,0.422915,0.414912,1
250,0.319149,0.054281,0.446147,0.003467,0.422915,0.414912,0
657,0.148936,0.059625,0.173163,0.003467,0.422915,0.414912,0
7895,0.148936,0.077999,0.186998,0.003467,0.422915,0.414912,0
15250,0.255319,0.056323,0.385302,0.003467,0.422915,0.414912,0
1082,0.042553,0.049838,0.236239,0.003467,0.422915,0.414912,0
27568,0.893617,0.043653,0.48676,0.002906,0.319265,0.748684,1
23643,0.446809,0.098024,0.543737,0.003467,0.422915,0.414912,1
26917,0.553191,0.074847,0.505207,0.005334,0.524599,0.500526,1
22361,0.361702,0.069143,0.261976,0.003467,0.422915,0.414912,1
19423,0.723404,0.203525,0.570217,0.003467,0.422915,0.414912,1
17692,0.191489,0.069833,0.150253,0.003467,0.422915,0.414912,0
22102,0.659574,0.057794,0.44094,0.003467,0.422915,0.414912,1
28420,0.06383,0.068902,0.504463,0.004697,0.49508,0.535088,1
27594,0.723404,0.06533,0.612615,0.00453,0.424133,0.494737,1
1429,0.680851,0.058034,0.296192,0.003467,0.422915,0.414912,0
28633,0.042553,0.073436,0.534216,0.005091,0.4855,0.421491,1
26386,0.680851,0.073136,0.455222,0.003467,0.422915,0.414912,1
28712,1.0,0.040261,0.567986,0.002798,0.49767,0.434211,1
27120,0.0,0.070704,0.475751,0.00483,0.42724,0.423246,1
28337,0.425532,0.044584,0.642815,0.000976,0.29855,0.726316,1
