,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
31284,0.255319,0.035487,0.397203,0.002426,0.461937,0.475,1
35827,0.489362,0.067401,0.576019,0.004497,0.624029,0.433772,1
18488,0.93617,0.040861,0.402112,0.002727,0.279648,0.559649,0
13945,0.893617,0.033475,0.458048,0.00226,0.277576,0.725,0
11617,0.340426,0.089618,0.475007,0.005783,0.625324,0.43114,0
36377,0.765957,0.081662,0.645195,0.005594,0.628431,0.349123,1
11553,0.978723,0.028702,0.436031,0.001789,0.411704,0.839035,0
5223,0.617021,0.02627,0.278786,0.001745,0.227084,0.664035,0
32846,0.212766,0.0266,0.294704,0.001163,0.301916,0.872807,1
31891,0.659574,0.068392,0.435733,0.004499,0.658726,0.345175,1
30203,0.510638,0.063468,0.47947,0.00442,0.480839,0.156579,1
32182,0.553191,0.10514,0.752157,0.007038,0.836354,0.370175,1
2343,0.765957,0.037078,0.8313,0.002567,0.795184,0.225439,0
14581,0.12766,0.020626,0.037043,0.001379,0.072501,0.775,0
32082,0.702128,0.055993,0.705891,0.003608,0.502071,0.631579,1
3684,0.12766,0.020926,0.070515,0.000841,0.183584,0.860088,0
16619,0.255319,0.037979,0.406427,0.002532,0.449249,0.316667,0
33041,0.361702,0.031044,0.589557,0.00198,0.550233,0.687719,1
4047,0.531915,0.02696,0.585242,0.001718,0.588814,0.724561,0
32942,0.425532,0.036688,0.629723,0.002439,0.692128,0.461404,1
37930,0.042553,0.054011,0.294555,0.003567,0.430088,0.575439,1
35983,0.468085,0.091209,0.574829,0.005577,0.291559,0.812281,1
16798,0.787234,0.028582,0.340524,0.001907,0.253237,0.633333,0
7857,0.212766,0.043773,0.179857,0.002873,0.221129,0.650877,0
962,0.787234,0.028281,0.492711,0.000841,0.375194,0.742105,0
15490,0.957447,0.029542,0.455519,0.001674,0.330399,0.919737,0
37707,0.510638,0.069653,0.504314,0.004744,0.632056,0.301754,1
30110,0.574468,0.053981,0.307647,0.003654,0.246245,0.451754,1
36829,0.021277,0.087426,0.470693,0.005733,0.426981,0.595614,1
17037,1.0,0.084064,0.445701,0.00581,0.516572,0.474123,0
30913,0.297872,0.058544,0.509223,0.004001,0.51709,0.372368,1
34118,0.765957,0.14414,0.677626,0.009975,0.690057,0.278509,1
37890,0.765957,0.043893,0.396311,0.002794,0.283273,0.801754,1
72,0.93617,0.034076,0.575126,0.002221,0.436561,0.734649,0
38314,0.595745,0.044464,0.272092,0.002919,0.246763,0.659649,1
36867,0.680851,0.067882,0.310771,0.002929,0.278353,0.639035,1
10010,0.12766,0.030053,0.216156,0.001894,0.375453,0.65,0
17401,0.148936,0.023928,0.058018,0.001606,0.070948,0.73114,0
18458,0.723404,0.034766,0.535257,0.002216,0.666494,0.457018,0
36599,0.510638,0.089918,0.516513,0.006014,0.574314,0.437281,1
